Time_stamp,Seconds,X,Y,Z
1/9/2020 19:06,0.1,0.04550171,-0.019378662,0.014175415
1/9/2020 19:06,0.101,-0.03390503,-0.004714966,-0.013320923
1/9/2020 19:06,0.099,0.025344849,0.005661011,-0.009048462
1/9/2020 19:06,0.1,-0.033294678,0.056350708,-0.001098633
1/9/2020 19:06,0.1,-0.047348022,0.026428223,-0.041427612
1/9/2020 19:06,0.1,0.06138611,0.018478394,-0.1849823
1/9/2020 19:06,0.1,0.44683838,0.2640381,-0.6840515
1/9/2020 19:06,0.1,0.16645813,0.17608643,-0.15992737
1/9/2020 19:06,0.101,-0.003982544,-0.23806763,0.16992188
1/9/2020 19:06,0.099,-0.5500946,-0.59054565,0.23345947
1/9/2020 19:06,0.1,-0.09925842,-0.15621948,0.11250305
1/9/2020 19:06,0.1,0.008239746,-0.09819031,-0.0554657
1/9/2020 19:06,0.1,0.31001282,0.12843323,-0.40977478
1/9/2020 19:06,0.1,-0.12124634,0.23777771,-0.21246338
1/9/2020 19:06,0.102,0.15789795,-0.17332458,0.2609558
1/9/2020 19:06,0.098,-0.32162476,-0.45677185,0.12838745
1/9/2020 19:06,0.1,-0.36805725,-0.2612915,0.3922882
1/9/2020 19:06,0.101,0.035110474,-0.24235535,0.1949768
1/9/2020 19:06,0.099,-0.084609985,-0.021224976,0.034317017
1/9/2020 19:06,0.1,0.050994873,0.06062317,-0.050582886
1/9/2020 19:06,0.1,-0.00579834,-0.13301086,-0.04875183
1/9/2020 19:06,0.1,-0.15179443,-0.11039734,-0.05241394
1/9/2020 19:06,0.101,-0.06199646,-0.02305603,-0.06707764
1/9/2020 19:06,0.099,-0.07727051,0.02947998,0.022705078
1/9/2020 19:06,0.1,0.044891357,0.03253174,-0.01210022
1/9/2020 19:06,0.1,0.116363525,0.25183105,7.32E-04
1/9/2020 19:06,0.1,-0.2403717,-0.007781982,-0.003555298
1/9/2020 19:06,0.1,0.03694153,0.025802612,-4.88E-04
1/9/2020 19:06,0.1,0.032058716,0.12599182,0.074020386
1/9/2020 19:06,0.1,0.027175903,0.042297363,0.08013916
1/9/2020 19:06,0.101,-0.04673767,-0.048706055,0.052642822
1/9/2020 19:06,0.099,-0.11148071,-0.0798645,0.14915466
1/9/2020 19:06,0.1,0.088256836,0.4815216,0.24812317
1/9/2020 19:06,0.1,0.1902771,0.29458618,0.20353699
1/9/2020 19:06,0.1,0.011291504,0.19197083,0.12045288
