time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
7.128963,-0.107260,-0.565370,-0.324260
7.159084,0.116082,-0.375337,-0.239169
7.199246,0.210501,-0.189789,-0.199501
7.229367,-0.174646,-0.179349,0.011676
7.259488,-0.533784,-0.352451,0.057724
7.299649,-0.253973,-0.327643,-0.152289
7.329770,-0.244903,-0.327786,-0.243521
7.359891,-0.062450,-0.090592,-0.266199
7.400052,0.609947,0.046862,-0.338945
7.430173,0.610802,0.019676,-0.478044
7.460294,0.517345,0.316326,-0.405268
7.500455,0.382206,0.286614,-0.247578
7.530577,0.491300,-0.049511,-0.248024
7.560697,0.187080,0.046597,-0.356380
7.590818,-0.012667,0.436596,-0.413438
7.630980,-0.448841,0.696872,0.090818
7.661101,-0.619839,0.857326,0.464604
7.691222,-0.085120,1.295678,0.750365
7.731383,0.051005,1.031757,0.891768
7.761504,-0.528384,0.808490,0.997473
7.791625,-0.383600,0.902789,0.993490
7.831786,0.569373,1.368933,0.798133
7.861907,-0.008531,0.926682,0.796741
7.892028,-0.890248,0.973303,1.071219
7.932190,-0.585741,0.843816,1.292858
7.962311,-0.433771,0.678484,1.264004
7.992432,-0.658570,0.667151,1.591327
8.035068,-0.766060,0.615764,1.592979
8.075229,-0.162950,0.783563,1.242646
8.105350,0.011063,0.768476,1.051945
8.135471,0.050089,0.612405,0.808116
8.175632,1.048235,0.936679,0.249328
8.205753,0.606280,0.410341,0.158217
8.235874,0.346694,0.003007,-0.004732
8.265995,0.032815,-0.404765,-0.238744
8.306157,0.257787,-0.566099,-0.586428
8.336278,0.565284,-0.181787,-0.254923
8.366399,0.793446,-0.632007,-0.619632
8.406560,0.805953,-0.255787,-1.628910
8.436681,0.243904,-1.067894,-1.826076
8.466802,0.388430,-0.755687,-1.537122
8.506963,0.864747,-0.695940,-1.230221
8.537084,0.084147,-0.785446,-1.181363
8.567205,-0.376492,-0.789267,-1.011933
8.607366,-0.204725,-0.859077,-1.006095
8.627467,-0.228176,-0.989591,-1.172317
8.667629,-0.093786,-1.145377,-1.274428
8.697750,0.359882,-1.108244,-0.754357
8.727871,0.408297,-0.999437,-0.420952
8.768032,0.010150,-0.772945,-0.508385
8.798153,0.137574,-0.653583,-0.650941
8.828274,0.367147,-0.682456,-0.376265
8.868435,0.104888,-0.340368,-0.213264
8.898556,-0.139797,-0.165116,-0.266259
8.928677,-0.048561,-0.511436,-0.147113
8.968838,-0.410604,-0.599538,0.108816
8.998959,-0.314232,-0.496137,-0.062526
9.029080,-0.179086,-0.319148,-0.133209
9.069242,-0.048112,-0.099890,-0.201959
9.099363,0.249984,-0.120495,-0.245130
9.129484,0.467845,0.134834,-0.213597
9.169645,0.536127,0.326188,-0.212220
9.199766,0.382208,0.070200,-0.228351
9.229887,0.245090,0.064780,-0.318229
9.270048,-0.244285,0.219524,-0.292139
9.300169,-0.566280,0.193651,0.009417
9.330290,-0.482874,0.119740,0.116197
9.370451,-0.213322,0.196946,0.065985
9.400572,-0.434592,0.626288,0.201632
9.430693,-0.787238,1.037263,0.286932
9.460814,-0.566428,1.506249,0.431588
9.500976,0.171299,1.125368,0.520104
9.531097,-0.493083,0.635286,0.781336
9.561218,-1.152175,0.722035,1.079873
9.601379,0.004507,1.615205,1.025916
9.631500,0.754125,1.548579,0.942657
9.661621,0.357442,1.395423,1.169299
9.701782,-0.008250,1.245809,1.429435
9.731903,-0.024162,1.081098,1.428174
9.762024,-0.133560,0.924403,1.400276
9.802186,-0.235272,0.673774,1.355872
9.832307,-0.223166,0.704149,1.306230
9.862428,-0.188030,0.487896,1.162041
9.902589,-0.083826,0.456633,0.706344
9.932710,0.043520,0.333482,0.594421
9.962831,-0.048575,-0.003062,0.508059
10.002992,-0.049433,-0.234114,0.234587
10.033113,0.072832,-0.360283,-0.063821
10.063234,-0.011722,-0.532036,-0.378124
10.103395,0.272733,-0.467932,-0.305189
10.133516,0.587292,-0.579422,-0.320848
10.163637,0.285763,-0.099981,-1.270765
10.203799,0.377170,-0.621989,-1.499648
10.233920,-0.105033,-0.762734,-1.102940
10.264041,0.710506,-0.533833,-0.832610
10.304202,0.628279,-0.697033,-1.142209
10.334323,0.280820,-0.699411,-1.325623
10.364444,-0.128073,-0.929308,-1.160246
10.394565,-0.153087,-1.085379,-0.841950
10.434726,-0.158270,-1.202187,-0.543171
10.464847,-0.021890,-0.979469,-0.676360
10.494968,0.250556,-0.862000,-0.815022
10.535129,0.480948,-0.851485,-0.869485
10.565250,0.202256,-0.814592,-0.806290
10.595371,0.168572,-0.715606,-0.577616
10.635533,0.435508,-0.640651,-0.373085
10.665654,0.152939,-0.631252,-0.276584
10.695775,-0.267961,-0.571247,-0.162262
10.735936,-0.621745,-0.618862,-0.059194
10.766057,-0.677055,-0.563600,-0.073596
10.796178,-0.458218,-0.305019,-0.013810
10.836339,-0.231697,-0.115823,0.145143
10.866460,-0.250072,-0.225638,0.215647
10.896581,-0.405392,-0.369799,0.261335
10.936742,0.125998,-0.178740,-0.050755
10.966863,0.311761,0.038985,-0.066431
10.996984,0.211054,-0.108544,-0.113647
11.037146,0.454001,0.071248,-0.351298
11.067267,0.298876,-0.007919,-0.397959
11.097388,0.172725,-0.038049,-0.417961
11.127509,0.518559,0.258153,-0.464148
11.167670,0.807310,0.305102,-0.452861
11.197791,-0.015693,0.078769,-0.124520
11.227912,-0.468901,0.130953,-0.056832
11.268076,-0.642222,0.787964,0.099173
11.298197,-0.673967,1.164882,0.393017
11.328318,-0.471209,1.571872,0.711017
11.368479,-0.257506,1.193074,1.017690
11.398600,-0.284503,0.796704,0.958905
11.428721,-0.399432,0.998237,0.894765
11.468883,0.056556,1.493461,0.974090
11.499004,0.116141,1.425811,1.031229
11.529125,-0.236719,1.311423,1.118411
11.569286,-0.312115,1.213519,1.438592
11.599407,-0.253628,1.057412,1.589384
11.629528,-0.303435,0.970459,1.575183
11.669689,-0.393019,0.669027,1.482510
11.699810,-0.485468,0.495004,1.279880
11.729931,-0.383738,0.472667,0.924096
11.770092,-0.183180,0.467781,0.531746
11.800213,-0.208510,0.293270,0.413535
11.830334,-0.191075,0.001865,0.325801
11.870496,-0.215995,-0.355445,0.211706
11.900617,-0.160131,-0.553451,-0.079856
11.930738,-0.094931,-0.657128,-0.509003
11.960858,0.033299,-0.482006,-0.598805
12.001020,0.863995,-0.466583,-0.426998
12.037396,0.884883,-0.088108,-1.378137
12.067517,0.839042,-0.555456,-1.397478
12.107678,0.209171,-0.682614,-0.948956
12.137799,0.904594,-0.609746,-0.696152
12.167920,0.415384,-0.871203,-0.932989
12.208081,-0.265712,-0.840637,-0.911541
12.238202,-0.598298,-1.024967,-0.842349
12.268320,-0.359432,-1.057173,-0.783959
12.308482,0.075840,-1.016638,-0.787651
12.338602,0.238155,-0.889205,-0.914111
12.368723,0.202392,-0.922838,-0.754278
12.408885,0.368828,-0.585875,-0.661143
12.439006,0.479305,-0.396411,-0.718563
12.469127,0.869683,-0.394297,-0.792552
12.509288,0.947308,-0.652380,-0.480632
12.539409,0.697902,-0.727285,-0.360917
12.569530,0.388348,-0.440329,-0.287418
12.599651,0.305409,-0.206807,-0.306348
12.629802,0.181189,-0.176091,-0.200648
12.659923,-0.109758,-0.197928,0.035384
12.700084,-0.161902,-0.146719,0.276483
12.730205,0.007538,-0.101519,0.189517
12.760326,-0.158535,-0.407577,0.196800
12.800488,-0.504809,-0.378234,0.095484
12.830609,-0.336487,-0.129711,-0.018002
12.860729,-0.095158,-0.201087,-0.039813
12.900891,0.085838,-0.231773,-0.368644
12.931012,0.099796,-0.050079,-0.380776
12.961133,-0.048173,-0.165211,-0.322001
13.001294,0.049886,-0.038071,-0.331294
13.031415,0.134825,0.190761,-0.390583
13.061536,0.222552,0.175485,-0.250118
13.091657,0.104721,0.230478,0.020911
13.131818,0.323891,0.787363,0.063713
13.161939,0.329515,1.138593,0.208349
13.192060,0.081630,1.158622,0.373442
13.232221,-0.411712,1.160649,0.627446
13.262342,-0.344877,0.947534,0.870699
13.292463,-0.434550,0.329639,0.830729
13.332625,-0.716975,0.370498,0.776756
13.362746,-0.107469,1.325887,0.782529
13.392867,0.834194,1.501376,0.689754
13.433028,0.427307,0.917109,0.780640
13.463149,-0.314245,0.816820,0.918809
13.493270,-0.357961,0.633931,1.007400
13.533431,-0.124886,0.530448,0.947987
13.563552,-0.180955,0.484349,1.005863
13.593673,-0.437803,0.557898,1.082667
13.633834,-0.154095,0.587458,0.991121
13.663955,-0.125893,0.553214,0.892024
13.694076,-0.222703,0.551072,0.701954
13.734238,-0.096470,0.355879,0.572669
13.764359,-0.087323,0.327002,0.634664
13.794480,-0.161963,0.191914,0.496572
13.834641,-0.165041,0.241853,0.244253
13.864762,-0.238934,0.136064,0.133764
13.894883,-0.199903,0.025232,-0.044782
13.925004,-0.062287,-0.066925,-0.037463
13.965165,0.119222,-0.428127,-0.256808
13.995286,-0.001054,-0.799235,-0.505602
14.025407,0.046879,-0.624483,-0.439780
14.065568,0.371355,-0.183165,-0.086383
14.095689,0.354076,-0.458919,-1.025673
14.125810,0.198148,-0.942582,-1.349442
14.165972,-0.164014,-0.739411,-0.763378
14.196093,-0.127075,-0.427650,-0.314113
14.226213,0.458874,-0.248036,-0.771495
14.266379,0.775601,-0.518978,-1.333534
14.296500,0.111014,-0.964271,-1.206342
14.326621,-0.334232,-0.919570,-0.523369
14.366782,0.106217,-0.710257,-0.345480
14.396903,0.959442,-0.536829,-0.611732
14.427024,0.836118,-0.459888,-0.594311
14.467185,-0.147809,-0.532507,-0.501327
14.497306,0.039222,-0.421362,-0.443337
14.527427,0.364926,-0.352470,-0.436243
14.567589,0.362251,-0.539254,-0.487675
14.597709,0.186729,-0.714234,-0.303006
14.627830,0.145119,-0.555118,-0.153861
14.667992,0.282068,-0.402878,-0.098228
14.698113,0.186840,-0.357680,-0.069441
14.728234,0.057118,-0.217014,0.043856
14.758355,-0.022922,-0.267197,0.070214
14.798516,-0.232434,-0.344496,0.051861
14.828637,-0.171458,-0.338592,-0.014449
14.858758,-0.003354,-0.259654,-0.028183
14.898919,-0.110399,-0.312212,-0.037609
14.929040,-0.156191,-0.328492,0.022820
14.959161,-0.044943,-0.330280,0.018564
14.999322,-0.007631,-0.485673,-0.042199
15.029443,-0.099651,-0.301063,-0.083895
15.059564,-0.091876,-0.064824,0.015005
15.099726,-0.169233,-0.229148,0.024515
15.129847,-0.086255,-0.144408,0.023709
15.159968,-0.008825,-0.081003,0.025924
15.200129,-0.140913,-0.230457,-0.116780
15.230250,0.139068,-0.050012,-0.267127
15.260366,0.226835,0.078893,-0.303508
15.300527,0.004175,-0.048833,-0.241061
15.330648,0.268473,0.115175,-0.371664
15.360769,0.649067,0.254236,-0.456695
15.400930,0.324342,0.032519,-0.106267
15.431051,0.160387,0.257415,-0.118983
15.461172,0.219262,0.384876,-0.203337
15.501334,-0.048123,0.015685,-0.160351
15.531455,-0.186447,-0.022644,-0.076619
15.561576,-0.189729,0.158255,0.005685
15.591697,-0.205984,0.266591,0.120137
15.631858,-0.357927,0.255301,0.324440
15.661979,-0.491339,0.255280,0.425032
15.692100,-0.458838,0.620004,0.501237
15.732261,-0.085566,1.094347,0.732571
15.762382,-0.085638,1.190455,0.837314
15.792503,-0.485744,1.255987,0.923037
15.832664,-0.877514,1.855240,1.069749
15.862785,-0.539081,1.900901,0.999071
15.892906,-0.441859,1.509211,0.951081
15.933068,-0.980328,0.746077,1.036057
15.963189,-1.283017,0.646409,1.344222
15.993310,-0.701961,0.985147,1.459735
16.037206,-0.461863,0.863401,1.418679
16.067327,-0.712441,0.874772,1.450890
16.107488,-0.383732,0.770909,1.246386
16.137609,-0.457431,0.438075,1.091943
16.167730,-0.826979,0.073590,1.001920
16.207891,-0.492531,0.185095,0.831705
16.238012,-0.018444,0.297127,0.613838
16.268134,-0.265636,0.082422,0.470200
16.308296,-0.502899,-0.064286,0.183846
16.338417,-0.195872,-0.072446,0.035357
16.368537,-0.163485,-0.284582,-0.240768
16.408699,-0.031224,-0.776218,-0.746229
16.438820,0.247686,-1.090247,-1.102672
16.468941,0.465311,-0.412910,-1.051089
16.509102,1.396340,0.096330,-0.338530
16.539223,1.355035,0.004612,-1.270232
16.569344,1.132330,-0.258710,-1.426995
16.599465,1.024163,-0.706953,-1.102335
16.629616,0.691323,-0.643446,-0.713949
16.659737,0.672938,-0.928434,-0.787353
16.699898,0.889751,-0.846935,-1.092332
16.730019,0.540059,-0.880199,-1.131729
16.760140,0.106512,-0.809729,-0.956092
16.800302,0.338266,-0.652872,-0.795803
16.830423,0.909947,-0.576118,-0.897303
16.860544,0.606187,-0.656738,-0.641200
16.900705,0.353744,-0.734650,-0.427516
16.930826,0.389489,-0.636874,-0.629705
16.960947,0.545016,-0.495923,-0.818202
17.001108,0.408924,-0.668199,-0.705949
17.031229,0.257406,-0.478988,-0.645553
17.061350,0.269253,-0.492866,-0.583145
17.101511,-0.036937,-0.545743,-0.458968
17.131632,-0.172945,-0.450035,-0.378411
17.161753,-0.032001,-0.367953,-0.318606
17.191874,0.004756,-0.329887,-0.169951
17.232036,-0.252231,-0.547592,-0.000317
17.262157,-0.258455,-0.524965,0.057453
17.292277,-0.072371,-0.329087,-0.016115
17.332438,0.262088,0.018255,-0.130633
17.362559,0.111998,0.002726,-0.145417
17.392680,0.085299,-0.149023,-0.131978
17.432841,0.028768,-0.297599,-0.349525
17.462962,-0.011358,-0.124306,-0.431489
17.493083,0.211245,-0.078039,-0.354386
17.533244,0.665893,0.132623,-0.373602
17.563365,0.665065,0.261806,-0.536024
17.593486,0.494533,0.144941,-0.595748
17.633648,0.121442,0.050604,-0.289311
17.663769,0.220274,0.626723,-0.315580
17.693890,0.210118,1.148875,-0.262720
17.734051,-0.041276,1.705564,-0.053771
17.764172,-0.007846,2.082943,0.332666
17.794294,0.309444,1.816450,0.832521
17.834454,0.236687,0.848084,0.948309
17.864575,-0.478088,0.618287,0.962349
17.894696,-0.786901,1.037301,1.053488
17.934858,0.292582,1.453313,1.387631
17.964978,-0.072751,1.013182,1.182347
17.995099,-0.692500,0.612927,1.024844
18.025220,-0.727038,0.380847,1.322039
18.065382,-0.725253,0.605273,1.601127
18.095503,-0.762979,0.400416,1.699717
18.125624,-0.724175,0.297370,1.554351
