time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
7.833771,0.000827,0.002939,-0.000012
7.863890,-0.006434,-0.008338,-0.000120
7.894008,-0.004680,-0.005465,-0.001565
7.934166,0.003847,0.013769,-0.002168
7.964285,-0.006744,-0.010496,0.001806
7.994404,-0.003326,-0.010198,0.000767
8.037037,0.007600,0.010989,-0.006354
8.077195,0.001459,-0.003564,0.001164
8.107314,0.001150,0.001418,-0.001552
8.137432,-0.001239,0.003009,-0.000915
8.177591,-0.007624,-0.009968,0.002400
8.207709,-0.010981,-0.009905,-0.001285
8.237828,-0.000561,0.001453,-0.004575
8.277986,-0.009081,-0.007500,0.000432
8.308105,-0.004367,-0.004050,0.001124
8.338223,0.001215,0.000652,-0.002839
8.378381,-0.003822,-0.000851,-0.003314
8.408500,0.005822,0.011633,-0.001572
8.438618,-0.010704,-0.012258,-0.002812
8.478777,0.002653,0.008866,-0.005793
8.508895,-0.002018,-0.004608,-0.000515
8.539014,-0.004964,-0.014689,0.002981
8.569132,-0.006604,-0.010086,-0.003886
8.609291,0.001775,0.003045,-0.003602
8.629394,0.004560,0.007814,-0.004826
8.669552,-0.006808,-0.007673,-0.002929
8.699671,-0.004975,-0.008461,0.000725
8.729790,0.004826,0.001475,-0.001711
8.769948,-0.001748,0.003116,-0.000107
8.800066,-0.003671,-0.000010,0.001494
8.830185,-0.005659,-0.004455,-0.000266
8.870343,-0.006644,-0.008332,-0.001126
8.900462,0.000402,-0.001745,-0.004576
8.930580,0.015515,0.014275,-0.004753
8.970739,-0.010630,-0.014581,0.002794
9.000857,-0.010603,-0.009042,0.002797
9.030976,-0.008793,-0.010897,-0.000545
9.071134,0.010400,0.006192,0.001012
9.101253,-0.003002,-0.005046,0.001909
9.131371,-0.003402,-0.005344,-0.002030
9.171529,-0.001514,0.001418,-0.003259
9.201648,-0.000602,-0.003678,-0.002706
9.231767,-0.001403,-0.002472,-0.003080
9.271925,-0.006589,-0.006641,-0.001932
9.302043,-0.000949,-0.003373,-0.002404
9.332162,0.000368,0.007699,-0.005194
9.362281,-0.013985,-0.013158,-0.005897
9.402439,-0.004020,-0.005790,-0.002769
9.432557,0.000501,-0.004543,-0.000411
9.462676,-0.010419,-0.009924,-0.000750
9.502834,-0.005013,-0.002503,-0.002342
9.532953,-0.011488,-0.008793,-0.002274
9.563071,-0.004435,-0.006056,-0.002983
9.603229,-0.000464,-0.007918,0.000018
9.633345,-0.002699,-0.002932,-0.001461
9.663464,0.007552,0.003455,-0.002491
9.703622,0.010859,0.010043,-0.006692
9.733740,-0.010501,-0.015593,0.000499
9.763859,-0.010418,-0.012715,-0.001065
9.804017,0.014941,0.018621,-0.005532
9.834136,-0.009694,-0.002167,-0.002462
9.864254,-0.008567,-0.007792,-0.004967
9.904413,-0.002531,0.003403,0.000889
9.934531,-0.011538,-0.010114,-0.000204
9.964650,-0.004722,-0.005645,-0.001267
10.004808,0.005863,0.008721,0.000375
10.034927,-0.000113,0.000794,-0.001205
10.065045,-0.007811,-0.008678,-0.001301
10.105203,0.017136,0.013009,-0.000593
10.135322,0.002500,0.010072,-0.001709
10.165441,-0.009845,-0.006510,-0.001550
10.205599,0.005864,0.006308,-0.003592
10.235717,0.002171,0.002908,-0.001342
10.265836,-0.009990,-0.012606,0.004969
10.295955,-0.008908,-0.009413,-0.003203
10.336113,-0.004443,-0.002035,-0.003457
10.366231,-0.003533,-0.005044,-0.000629
10.396350,0.008728,0.001361,-0.002233
10.436508,0.001584,0.000286,-0.000043
10.466627,0.007152,0.007465,-0.005714
10.496745,-0.003605,0.003914,-0.001433
10.536903,-0.006253,-0.014648,-0.001006
10.567022,0.003300,-0.002887,-0.008884
10.597141,-0.004199,0.006214,-0.007276
10.637299,-0.014529,-0.010307,-0.000396
10.667418,0.000461,-0.008530,-0.005794
10.697536,-0.000642,-0.000729,-0.005295
10.737694,-0.002196,0.001202,0.001065
10.767813,-0.012089,-0.011581,-0.000398
10.797932,-0.004437,-0.009949,-0.004151
10.838090,0.006876,0.011343,-0.003999
10.868208,0.000750,0.006642,-0.005152
