Date_time,Second,X,Y,Z,Profile,Activity
1/8/2020 19:24,1602,-1.4925537,-0.39585876,-0.19358826,AR,stairsu
1/8/2020 19:24,1611,-1.5017242,-0.3622589,-0.11357117,AR,stairsu
1/8/2020 19:24,1621,-1.4656677,-0.26634216,-0.084854126,AR,stairsu
1/8/2020 19:24,1631,-1.3917542,-0.1600647,-0.13067627,AR,stairsu
1/8/2020 19:24,1641,-1.2836304,-0.0635376,-0.19480896,AR,stairsu
1/8/2020 19:24,1651,-1.154129,0.018920898,-0.26016235,AR,stairsu
1/8/2020 19:24,1662,-1.0258484,0.08062744,-0.31332397,AR,stairsu
1/8/2020 19:24,1671,-0.894516,-0.046432495,-0.34629822,AR,stairsu
1/8/2020 19:24,1681,-0.87557983,-0.35186768,-0.3401947,AR,stairsu
1/8/2020 19:24,1692,-0.9433899,-0.794754,-0.30415344,AR,stairsu
1/8/2020 19:24,1701,-1.091217,-1.0769653,-0.31881714,AR,stairsu
1/8/2020 19:24,1711,-1.1694031,-1.2614594,-0.40983582,AR,stairsu
1/8/2020 19:24,1721,-1.193222,-1.0934601,-0.3401947,AR,stairsu
1/8/2020 19:24,1731,-1.1553497,-0.77641296,-0.24305725,AR,stairsu
1/8/2020 19:24,1742,-1.0960999,-0.52352905,-0.16914368,AR,stairsu
1/8/2020 19:24,1751,-0.5341034,0.35246277,0.10572815,AR,stairsu
1/8/2020 19:24,1761,-0.13398743,0.44041443,0.19186401,AR,stairsu
1/8/2020 19:24,1772,0.24414062,0.3781128,0.27677917,AR,stairsu
1/8/2020 19:24,1781,0.37425232,0.27609253,0.30792236,AR,stairsu
1/8/2020 19:24,1791,0.46955872,-0.15882874,0.1882019,AR,stairsu
1/8/2020 19:24,1801,0.45733643,-0.56018066,0.034866333,AR,stairsu
1/8/2020 19:24,1811,0.30827332,-0.8356781,-0.072021484,AR,stairsu
1/8/2020 19:24,1822,-0.105270386,-0.95539856,-0.0769043,AR,stairsu
1/8/2020 19:24,1831,-0.40826416,-0.8552246,0.001281738,AR,stairsu
1/8/2020 19:24,1841,-0.779068,-0.52290344,0.10328674,AR,stairsu
1/8/2020 19:24,1851,-0.749115,-0.29933167,0.29144287,AR,stairsu
1/8/2020 19:24,1861,-0.3710022,0.036026,0.620697,AR,stairsu
1/8/2020 19:24,1871,-0.07472229,0.28526306,0.8998718,AR,stairsu
1/8/2020 19:24,1881,0.3168335,0.64445496,1.3763428,AR,stairsu
1/8/2020 19:24,1891,0.77804565,1.219284,1.9774323,AR,stairsu
1/8/2020 19:24,1902,1.1549377,1.6340637,2.4038239,AR,stairsu
1/8/2020 19:24,1912,1.595993,2.1233673,2.719635,AR,stairsu
1/8/2020 19:24,1921,1.9258728,2.470337,2.843048,AR,stairsu
1/8/2020 19:24,1932,2.2105255,2.7122498,2.755066,AR,stairsu
1/8/2020 19:24,1941,2.41333,2.758667,2.4679718,AR,stairsu
1/8/2020 19:24,1951,2.4964142,2.626114,2.2169037,AR,stairsu
1/8/2020 19:24,1961,2.4017334,2.5619812,1.4264374,AR,stairsu
1/8/2020 19:24,1971,1.1164551,4.077545,0.58221436,AR,stairsu
1/8/2020 19:24,1982,0.30645752,4.494766,0.26089478,AR,stairsu
1/8/2020 19:24,1991,-0.1895752,3.6206207,0.08129883,AR,stairsu
1/8/2020 19:24,2001,-0.39848328,2.3707733,-0.009109497,AR,stairsu
1/8/2020 19:24,2011,-0.67948914,1.6132965,-0.06347656,AR,stairsu
1/8/2020 19:24,2022,-0.999588,0.7947235,-0.18380737,AR,stairsu
1/8/2020 19:24,2031,-1.2103271,0.346344,-0.23756409,AR,stairsu
1/8/2020 19:24,2041,-1.4155884,0.10076904,-0.24246216,AR,stairsu
1/8/2020 19:24,2051,-1.3453369,0.13375854,-0.15266418,AR,stairsu
1/8/2020 19:24,2061,-1.1272583,0.527771,-0.11904907,AR,stairsu
1/8/2020 19:24,2072,-0.79371643,0.864975,-0.17892456,AR,stairsu
1/8/2020 19:24,2081,-0.33067322,0.58703613,-0.108673096,AR,stairsu
1/8/2020 19:24,2092,0.008346558,0.15452576,0.043426514,AR,stairsu
1/8/2020 19:24,2101,0.30949402,-0.18876648,0.06297302,AR,stairsu
1/8/2020 19:24,2111,0.49765015,-0.36531067,0.063583374,AR,stairsu
1/8/2020 19:24,2121,0.6131134,-0.065979004,0.07090759,AR,stairsu
1/8/2020 19:24,2131,0.6393738,0.6304016,0.06541443,AR,stairsu
1/8/2020 19:24,2142,0.5929413,1.280365,0.11489868,AR,stairsu
1/8/2020 19:24,2151,0.49642944,1.656662,0.2016449,AR,stairsu
1/8/2020 19:24,2161,0.29057312,1.8014374,0.26638794,AR,stairsu
1/8/2020 19:24,2171,-0.05822754,1.7702789,0.3329773,AR,stairsu
1/8/2020 19:24,2181,-0.44430542,0.7947235,0.55900574,AR,stairsu
1/8/2020 19:24,2191,-0.7112427,0.28709412,0.40872192,AR,stairsu
1/8/2020 19:24,2202,-1.1492462,-0.2828369,0.026321411,AR,stairsu
