Time_stamp,Seconds,X,Y,Z,profile,Activity
1/8/2020 17:09,0.101,-7.63E-04,-0.013000488,-0.013183594,AR,laying
1/8/2020 17:09,0.099,0.13911438,0.10733032,-0.08343506,AR,laying
1/8/2020 17:09,0.1,0.13728333,0.3981018,-0.2581482,AR,laying
1/8/2020 17:09,0.1,0.42378235,0.64123535,-0.37542725,AR,laying
1/8/2020 17:09,0.1,0.07437134,0.1800232,-0.037017822,AR,laying
1/8/2020 17:09,0.1,0.5435028,0.8959656,-0.44873047,AR,laying
1/8/2020 17:09,0.1,-0.035583496,0.14093018,0.004516602,AR,laying
1/8/2020 17:09,0.1,-0.21762085,-0.43450928,0.09248352,AR,laying
1/8/2020 17:09,0.1,-0.9708252,-1.3379669,0.51704407,AR,laying
1/8/2020 17:09,0.101,-0.40270996,-0.5866089,0.5549164,AR,laying
1/8/2020 17:09,0.099,-0.058181763,-0.35020447,0.41685486,AR,laying
1/8/2020 17:09,0.1,-0.30070496,-0.54444885,0.33195496,AR,laying
1/8/2020 17:09,0.1,-0.023361206,0.13848877,0.055221558,AR,laying
1/8/2020 17:09,0.1,0.076812744,0.24905396,-0.015625,AR,laying
1/8/2020 17:09,0.101,0.13545227,0.33396912,-0.1933899,AR,laying
1/8/2020 17:09,0.099,0.08779907,-0.005661011,-0.15612793,AR,laying
1/8/2020 17:09,0.1,-0.21212769,-0.30010986,0.08821106,AR,laying
1/8/2020 17:09,0.1,-0.04475403,-0.1632843,0.08270264,AR,laying
1/8/2020 17:09,0.101,-0.00932312,0.003494263,-0.013793945,AR,laying
1/8/2020 17:09,0.099,0.01083374,-0.012390137,-0.016845703,AR,laying
1/8/2020 17:09,0.1,-0.022766113,-0.008117676,-0.013183594,AR,laying
1/8/2020 17:09,0.101,-0.001983643,0.004714966,-3.66E-04,AR,laying
1/8/2020 17:09,0.099,-0.018478394,0.020584106,0.010635376,AR,laying
1/8/2020 17:09,0.1,-0.034362793,0.023040771,-0.001586914,AR,laying
1/8/2020 17:09,0.1,0.04260254,0.005310059,0.015518189,AR,laying
1/8/2020 17:09,0.1,-0.027648926,-0.005065918,-0.01625061,AR,laying
